hashtags,user_favorites
TexasFreeze,9798
TexasFreeze,326199
TexasStrong,71686
TexasFreeze,217511
TexasFreeze,186624
TexasStrong,21290
TexasStrong,19290
TexasFreeze,21451
TexasStrong,52227
TexasFreeze,272273
TexasWinterStorm2021,28484
TexasStrong,80346
TexasStrong,72872
TexasFreeze,114326
TexasFreeze,120520
TexasStrong,25239
TexasWinterStorm2021,165716
TexasFreeze,314226
TexasFreeze,65768
TexasStrong,96694
TexasFreeze,120667
TexasFreeze,96077
TexasFreeze,12152
TexasFreeze,37703
TexasStrong,4363
TexasFreeze,18061
TexasFreeze,12152
TexasFreeze,34821
TexasFreeze,72650
TexasStrong,145630
TexasFreeze,20866
TexasStrong,12476
TexasFreeze,4050
TexasStrong,51419
TexasStrong,160607
TexasFreeze,600124
HelpTexas,9610
TexasStrong,9610
TexasFreeze,600125
TexasStrong,64923
TexasFreeze,162122
TexasFreeze,330289
TexasStrong,13480
TexasStrong,208553
TexasFreeze,49431
TexasStrong,72649
TexasFreeze,114343
TexasBlackout,3997
TexasStrong,69224
TexasStrong,48851
TexasStrong,358710
TexasStrong,522308
TexasFreeze,104141
TexasFreeze,151092
TexasFreeze,71313
TexasFreeze,142719
Texas,77024
TexasStrong,12763
TexasBlackout,33616
TexasStrong,1075
TexasFreeze,20323
TexasFreeze,17053
TexasStrong,84748
TexasFreeze,3724
TexasFreeze,25461
Texas,28494
TexasStrong,18234
TexasStrong,86771
TexasFreeze,268261
TexasFreeze,109360
TexasStrong,107374
TexasFreeze,3724
TexasFreeze,427154
TexasStrong,41296
TexasStrong,78031
TexasWinterStorm2021,17872
HoustonFoodBank,17872
Texas,176207
TexasFreeze,407874
TexasFreeze,145471
TexasBlackout,7304
TexasStrong,149306
TexasFreeze,223327
TexasStrong,472466
TexasWinterStorm2021,131993
TexasStrong,186222
TexasFreeze,36203
TexasStrong,26038
TexasFreeze,21626
txwx,18458
TexasStrong,121931
TexasStrong,85441
TexasStrong,206932
TexasFreeze,462679
TexasStrong,38430
TexasStrong,7220
TexasFreeze,26
GOPCowards,210423
GOP,210423
TexasFreeze,210423
TexasFreeze,8219
TexasFreeze,77155
TexasStrong,89461
TexasStrong,462685
TexasFreeze,41215
txwx,16227
TexasStrong,53525
TexasFreeze,118295
TexasStrong,5485
TexasStrong,18060
TexasStrong,43729
TexasStrong,5119
TexasWinterStorm2021,122569
TexasWeather,26704
TexasStrong,188241
TexasFreeze,3114
TexasFreeze,29766
TexasStrong,112529
Texas,9688
TexasStrong,142678
TexasWinterStorm2021,403
TexasStrong,18271
TexasWeather,136720
TexasFreeze,57857
Texas,17886
TexasFreeze,1991
TexasFreeze,57857
TexasFreeze,266782
TexasFreeze,415203
TexasFreeze,53317
FTP,156869
TexasFreeze,83296
TexasFreeze,96138
FTP,46971
TexasStrong,11534
TexasFreeze,196075
FTP,85137
TexasWinterStorm2021,143053
TexasFreeze,38595
TexasBlackout,16618
TexasPowerOutages,
TexasStrong,184553
fishing,16921
TexasFreeze,3353
TexasFreeze,24411
TexasFreeze,45548
TexasFreeze,43412
FTP,219401
TexasStrong,45097
TexasFreeze,13704
"Texas,TexasBlackout",38395
TexasStrong,4109
TexasFreeze,31341
TexasFreeze,104651
Texas,244471
TexasFreeze,40648
TexasStrong,454
TexasFreeze,48740
TexasStrong,207642
TexasStrong,14586
TexasStrong,148857
TexasFreeze,2658
TexasWinterStorm2021,52222
TexasStrong,786
Texas,83752
TexasStrong,278213
TexasFreeze,297364
TexasFreeze,36227
TexasWinterStorm2021,11258
TexasFreeze,14234
TexasFreeze,33812
Texas,33973
TexasFreeze,28582
TexasFreeze,23268
job,5028
TexasFreeze,59427
TexasFreeze,6130
TexasFreeze,112912
TexasFreeze,44567
TexasFreeze,29725
TexasWinterStorm2021,88216
TexasFreeze,2284
TedCruzRESIGN,35480
TedCancunCruz,35480
TedCruzFailedTexas,35480
TedCruzRESIGN,35480
RAT,35480
TEDCRUZ,35480
Texas,35480
Texas,26487
TedCruzRESIGN,35481
TedCancunCruz,35481
TedCruzFailedTexas,35481
TedCruzRESIGN,35481
RAT,35481
TEDCRUZ,35481
Texas,35481
TexasWinterStorm2021,11258
TexasFreeze,7172
TexasFreeze,111923
TexasFreeze,13976
TexasWinterStorm2021,11258
TexasFreeze,27808
TexasFreeze,173628
TexasFreeze,21485
TexasWinterStorm2021,11258
TexasFreeze,42498
TexasFreeze,40585
TexasFreeze,76811
TexasFreeze,19896
TexasFreeze,51246
TexasFreeze,11338
TexasFreeze,27232
TexasFreeze,78901
TexasFreeze,341478
TexasFreeze,87352
TexasFreeze,104587
TexasFreeze,307194
TexasFreeze,67931
TexasFreeze,3825
TexasFreeze,211167
TexasFreeze,1280
TexasFreeze,420189
TexasStrong,353
TexasFreeze,90065
TexasFreeze,198661
TexasWeather,869
TexasFreeze,17495
TexasFreeze,26769
TexasFreeze,59464
TexasFreeze,13377
TexasFreeze,7704
TexasFreeze,1179
texaswinterstorm,21334
Texas,21334
TexasWinterStorm,28893
TexasFreeze,22599
TexasFreeze,51205
TexasFreeze,639067
TexasFreeze,439
TexasFreeze,107403
TexasWinterStorm2021,75364
TexasFreeze,60735
TexasFreeze,39124
TexasFreeze,60624
TexasFreeze,242231
TexasFreeze,18943
TexasFreeze,91698
TexasFreeze,4855
TexasFreeze,29417
TexasFreeze,2920
TexasFreeze,15145
TexasFreeze,1651
TexasWeather,35144
TexasFreeze,11585
TexasFreeze,35868
TexasFreeze,42103
TexasFreeze,70774
TexasFreeze,23483
TexasStrong,419605
TexasFreeze,162572
TexasFreeze,42843
TexasFreeze,2954
TexasFreeze,16722
TexasFreeze,264631
TexasFreeze,674212
TexasFreeze,15026
TexasFreeze,164373
TexasFreeze,78133
TexasFreeze,65363
TexasFreeze,135691
TexasStrong,2881
TexasFreeze,82822
TexasFreeze,128621
TexasFreeze,43169
TexasFreeze,11427
TexasFreeze,154169
TexasFreeze,12388
TexasFreeze,1362
TexasFreeze,190141
TexasFreeze,19377
TexasFreeze,42766
TexasFreeze,60470
TexasFreeze,16480
TexasFreeze,77455
TexasStrong,9075
TexasBlackout,617711
TexasFreeze,221235
TexasFreeze,6140
TexasFreeze,183917
job,5028
txwx,30667
TexasFreeze,101097
TexasFreeze,210979
TexasFreeze,291368
TexasFreeze,12891
TexasFreeze,3535
txwx,27501
TexasPowerOutages,16565
Venezuela,16565
TexasFreeze,151210
TexasStrong,37090
TexasFreeze,125087
TexasFreeze,48528
Texas,23153
TexasWinterStorm2021,193355
Teamsters,57683
TexasFreeze,68641
TexasStrong,183553
TexasFreeze,58848
TexasFreeze,15034
TexasFreeze,83570
TexasFreeze,1250
TexasBlackout,107746
TexasFreeze,136224
TexasFreeze,75234
TexasStrong,315194
TexasFreeze,6455
Teamsters,20088
texaswinterstorm,7462
Texas,7462
TexasFreeze,5978
TexasFreeze,3326
TexasFreeze,4
TexasStrong,44
TexasFreeze,101099
TexasFreeze,81076
TexasFreeze,9975
TexasFreeze,6103
TexasStrong,49608
TexasFreeze,33039
