FID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,SHAPE_Length,SHAPE_Area
52,20,13,Bee,Corpus Christi,13,48025,13,16,N,N,N,2.22898182098986,0.209983672520949
53,21,29,Calhoun,Yoakum,29,48057,29,13,Y,Y,N,9.2895107728164,0.129738321512578
54,22,149,Live Oak,Corpus Christi,149,48297,149,16,N,N,N,2.31360396525171,0.257196148032065
55,23,88,Goliad,Corpus Christi,88,48175,89,16,Y,N,N,2.17116928926357,0.20545120818127
56,24,159,Maverick,Laredo,162,48323,159,22,N,N,N,2.86297281183171,0.3089810746018
57,25,254,Zavala,Laredo,254,48507,254,22,N,N,N,2.30018486368783,0.311031360601686
58,26,82,Frio,San Antonio,82,48163,83,15,N,N,N,2.11371111519707,0.271133894505313
59,27,235,Victoria,Yoakum,235,48469,235,13,Y,Y,Y,2.77529331700537,0.212539772979367
60,28,128,Karnes,Corpus Christi,128,48255,129,16,N,N,N,1.98638231011653,0.179978263000099
61,135,115,Hudspeth,El Paso,115,48229,116,24,N,N,Y,4.98747937683923,1.12311625687492
62,136,1,Anderson,Tyler,1,48001,1,10,N,N,N,3.70938183047198,0.265992076730462
63,137,71,El Paso,El Paso,71,48141,72,24,Y,Y,Y,2.4355150325091,0.250160036668829
64,138,18,Bosque,Waco,18,48035,18,9,N,N,N,2.55411393685528,0.247533572517498
65,139,37,Cherokee,Tyler,37,48073,37,10,N,N,N,3.63915234302728,0.262098521212151
66,140,47,Comanche,Brownwood,47,48093,47,23,N,N,N,2.09543477877644,0.235314023273346
67,141,109,Hill,Waco,109,48217,110,9,N,N,N,2.57039356962493,0.243702358078225
68,142,213,Somervell,Fort Worth,213,48425,213,2,N,N,Y,0.911909930231666,0.0474734690771096
69,143,175,Navarro,Dallas,175,48349,175,18,N,N,N,2.49605451337314,0.268572716711173
70,144,107,Henderson,Tyler,107,48213,108,10,N,N,N,3.15290951324651,0.235056319112149
71,145,30,Callahan,Abilene,30,48059,30,8,Y,Y,Y,1.89752411368987,0.223364468518721
